ID,block,trial,whichFilled,choice,responseTime,pointsWon,blockWinnings,tagText
12137696,3,19,none,right,401,33,1451,???
12137696,3,20,none,top,312,83,1534,???
12137696,3,21,none,top,2363,76,1610,???
12137696,3,22,none,top,717,70,1680,???
12137696,3,23,right,right,380,14,1694,???
12137696,3,24,right,top,290,70,1764,???
12137696,3,25,right,left,111,51,1815,???
12137696,3,26,right,bottom,221,38,1853,???
12137696,3,27,right,top,492,96,1949,???
12137696,3,28,right,top,761,91,2040,???
12137696,3,29,right,top,606,99,2139,???
12137696,3,30,right,top,426,97,2236,???
12377879,1,1,none,right,2696,17,17,bad
12377879,1,2,none,top,699,92,109,bad
12377879,1,3,none,top,1407,85,194,bad
12377879,1,4,none,bottom,845,5,199,bad
12377879,1,5,none,left,277,31,230,bad
12377879,1,6,none,top,275,69,299,bad
12377879,1,7,none,right,37,1,300,bad
12377879,1,8,none,top,502,54,354,bad
12377879,1,9,none,bottom,501,6,360,bad
12377879,1,10,top,left,7117,39,399,bad
12377879,1,11,top,top,539,61,460,bad
12377879,1,12,top,top,3079,57,517,bad
12377879,1,13,top,top,733,68,585,bad
12377879,1,14,top,top,182,54,639,bad
12377879,1,15,top,right,495,8,647,bad
12377879,1,16,top,top,1338,54,701,bad
12377879,1,17,top,top,388,49,750,bad
12377879,1,18,top,left,318,13,763,bad
12377879,1,19,top,bottom,787,31,794,bad
12377879,1,20,top,top,286,68,862,bad
12377879,1,21,top,top,267,83,945,bad
12377879,1,22,top,top,205,76,1021,bad
12377879,1,23,top,top,12,69,1090,bad
12377879,1,24,top,top,31,68,1158,bad
12377879,1,25,top,top,1779,81,1239,bad
12377879,1,26,top,top,139,85,1324,bad
12377879,1,27,top,top,1012,88,1412,bad
12377879,1,28,top,top,380,73,1485,bad
12377879,1,29,top,top,1109,86,1571,bad
12377879,1,30,top,top,140,54,1625,bad
12377879,2,1,none,right,0,16,16,bad
12377879,2,2,none,top,292,15,31,bad
12377879,2,3,none,bottom,239,37,68,bad
12377879,2,4,none,left,19,56,124,bad
12377879,2,5,none,left,229,63,187,bad
12377879,2,6,none,left,41,50,237,bad
12377879,2,7,none,left,197,41,278,bad
12377879,2,8,none,left,198,21,299,bad
12377879,2,9,none,top,118,1,300,bad
12377879,2,10,none,bottom,148,59,359,bad
12377879,2,11,right,right,709,6,365,bad
12377879,2,12,right,left,228,8,373,bad
12377879,2,13,right,bottom,2068,44,417,bad
12377879,2,14,right,bottom,108,45,462,bad
12377879,2,15,right,bottom,25,51,513,bad
12377879,2,16,right,bottom,67,54,567,bad
12377879,2,17,right,bottom,1946,51,618,bad
12377879,2,18,right,bottom,70,52,670,bad
12377879,2,19,right,bottom,18,48,718,bad
12377879,2,20,right,bottom,278,44,762,bad
12377879,2,21,right,top,322,13,775,bad
12377879,2,22,right,right,824,9,784,bad
12377879,2,23,right,bottom,331,46,830,bad
12377879,2,24,right,bottom,108,52,882,bad
12377879,2,25,right,bottom,163,53,935,bad
12377879,2,26,right,bottom,68,53,988,bad
12377879,2,27,right,bottom,119,46,1034,bad
12377879,2,28,right,bottom,114,53,1087,bad
12377879,2,29,right,bottom,34,54,1141,bad
12377879,2,30,right,bottom,2834,62,1203,bad
